Date	NVDAClose	Date	VGTClose
7/25/2017	4.13375	7/25/2017	148.690002
7/24/2017	4.15375	7/24/2017	148.869995
7/21/2017	4.2025	7/21/2017	148.279999
7/20/2017	4.1875	7/20/2017	148.600006
7/19/2017	4.1275	7/19/2017	148.460007
7/18/2017	4.149	7/18/2017	147.570007
7/17/2017	4.10625	7/17/2017	146.869995
7/14/2017	4.12375	7/14/2017	146.779999
7/13/2017	4.01575	7/13/2017	145.589996
7/12/2017	4.06275	7/12/2017	145.240005
7/11/2017	3.897	7/11/2017	143.279999
7/10/2017	3.8425	7/10/2017	142.729996
7/7/2017	3.669	7/7/2017	141.699997
7/6/2017	3.587	7/6/2017	139.869995
7/5/2017	3.57625	7/5/2017	141.139999
7/3/2017	3.48325	7/3/2017	139.699997
6/30/2017	3.614	6/30/2017	140.839996
6/29/2017	3.667	6/29/2017	141.029999
6/28/2017	3.79375	6/28/2017	143.570007
6/27/2017	3.6645	6/27/2017	142.130005
6/26/2017	3.80375	6/26/2017	144.559998
6/23/2017	3.84575	6/23/2017	145.339996
6/22/2017	3.95925	6/22/2017	144.389999
6/21/2017	3.98675	6/21/2017	144.169998
6/20/2017	3.92725	6/20/2017	143.199997
6/19/2017	3.933	6/19/2017	144.399994
6/16/2017	3.7905	6/16/2017	142.110001
6/15/2017	3.80925	6/15/2017	142.339996
6/14/2017	3.793	6/14/2017	143.009995
6/13/2017	3.785	6/13/2017	143.839996
6/12/2017	3.74925	6/12/2017	142.600006
6/9/2017	3.74	6/9/2017	143.690002
6/8/2017	3.9985	6/8/2017	147.789993
6/7/2017	3.728	6/7/2017	147.199997
6/6/2017	3.6835	6/6/2017	146.880005
6/5/2017	3.70025	6/5/2017	147.119995
6/2/2017	3.591	6/2/2017	146.960007
6/1/2017	3.609	6/1/2017	145.630005
5/31/2017	3.60875	5/31/2017	144.919998
5/30/2017	3.62175	5/30/2017	145.320007
5/26/2017	3.546	5/26/2017	144.960007
5/25/2017	3.4565	5/25/2017	144.960007
5/24/2017	3.46425	5/24/2017	143.800003
5/23/2017	3.42575	5/23/2017	143.100006
5/22/2017	3.4725	5/22/2017	142.979996
5/19/2017	3.4	5/19/2017	141.529999
5/18/2017	3.32675	5/18/2017	140.729996
5/17/2017	3.193	5/17/2017	140.050003
5/16/2017	3.42025	5/16/2017	144.199997
5/15/2017	3.35775	5/15/2017	143.399994
5/12/2017	3.19725	5/12/2017	142.440002
5/11/2017	3.1625	5/11/2017	142.050003
5/10/2017	3.03225	5/10/2017	142.240005
5/9/2017	2.5735	5/9/2017	141.690002
5/8/2017	2.56925	5/8/2017	141.389999
5/5/2017	2.5965	5/5/2017	140.919998
5/4/2017	2.59625	5/4/2017	140.270004
5/3/2017	2.60625	5/3/2017	140.070007
5/2/2017	2.587	5/2/2017	140.320007
5/1/2017	2.666	5/1/2017	140.039993
4/28/2017	2.6075	4/28/2017	138.800003
4/27/2017	2.641	4/27/2017	138.589996
4/26/2017	2.6005	4/26/2017	137.740005
4/25/2017	2.6185	4/25/2017	138.059998
4/24/2017	2.57375	4/24/2017	137.210007
4/21/2017	2.542	4/21/2017	135.410004
4/20/2017	2.5315	4/20/2017	135.509995
4/19/2017	2.492	4/19/2017	134.149994
4/18/2017	2.48225	4/18/2017	134.130005
4/17/2017	2.48075	4/17/2017	134.160004
4/13/2017	2.38725	4/13/2017	132.899994
4/12/2017	2.43275	4/12/2017	133.399994
4/11/2017	2.453	4/11/2017	134.089996
4/10/2017	2.44425	4/10/2017	134.559998
4/7/2017	2.50825	4/7/2017	134.630005
4/6/2017	2.519	4/6/2017	134.720001
4/5/2017	2.50075	4/5/2017	134.660004
4/4/2017	2.5195	4/4/2017	135.149994
4/3/2017	2.7095	4/3/2017	135.229996
3/31/2017	2.72325	3/31/2017	135.630005
3/30/2017	2.735	3/30/2017	135.679993
3/29/2017	2.6835	3/29/2017	135.539993
3/28/2017	2.69225	3/28/2017	135.220001
3/27/2017	2.70625	3/27/2017	134.289993
3/24/2017	2.68675	3/24/2017	134.190002
3/23/2017	2.67725	3/23/2017	134.460007
3/22/2017	2.70175	3/22/2017	134.789993
3/21/2017	2.64775	3/21/2017	133.779999
3/20/2017	2.73625	3/20/2017	135.970001
3/17/2017	2.65175	3/17/2017	135.789993
3/16/2017	2.59525	3/16/2017	135.770004
3/15/2017	2.56375	3/15/2017	135.399994
3/14/2017	2.5445	3/14/2017	134.539993
3/13/2017	2.54625	3/13/2017	134.910004
3/10/2017	2.478	3/10/2017	134.729996
3/9/2017	2.4635	3/9/2017	134.039993
3/8/2017	2.464	3/8/2017	134.119995
3/7/2017	2.4685	3/7/2017	133.960007
3/6/2017	2.44175	3/6/2017	133.850006
3/3/2017	2.46075	3/3/2017	134.100006
3/2/2017	2.475	3/2/2017	133.869995
3/1/2017	2.56975	3/1/2017	134.869995
2/28/2017	2.537	2/28/2017	133
2/27/2017	2.61025	2/27/2017	133.820007
2/24/2017	2.5365	2/24/2017	133.789993
2/23/2017	2.51225	2/23/2017	133.520004
2/22/2017	2.769	2/22/2017	133.830002
2/21/2017	2.77675	2/21/2017	133.660004
2/17/2017	2.68075	2/17/2017	132.869995
2/16/2017	2.68125	2/16/2017	132.479996
2/15/2017	2.725	2/15/2017	132.300003
2/14/2017	2.7195	2/14/2017	131.720001
2/13/2017	2.7095	2/13/2017	131.25
2/10/2017	2.8405	2/10/2017	130.529999
2/9/2017	2.9095	2/9/2017	130.220001
2/8/2017	2.96525	2/8/2017	129.589996
2/7/2017	2.97825	2/7/2017	129.369995
2/6/2017	2.93275	2/6/2017	128.910004
2/3/2017	2.8595	2/3/2017	128.729996
2/2/2017	2.88475	2/2/2017	127.709999
2/1/2017	2.84875	2/1/2017	127.650002
1/31/2017	2.7295	1/31/2017	126.739998
1/30/2017	2.7505	1/30/2017	127.349998
1/27/2017	2.79425	1/27/2017	128.389999
1/26/2017	2.74125	1/26/2017	128.029999
1/25/2017	2.69475	1/25/2017	128.350006
1/24/2017	2.68325	1/24/2017	126.989998
1/23/2017	2.62725	1/23/2017	125.650002
1/20/2017	2.60025	1/20/2017	125.589996
1/19/2017	2.629	1/19/2017	124.919998
1/18/2017	2.57375	1/18/2017	125.279999
1/17/2017	2.52775	1/17/2017	124.800003
1/13/2017	2.58575	1/13/2017	125.5
1/12/2017	2.586	1/12/2017	125.010002
1/11/2017	2.629	1/11/2017	125.389999
1/10/2017	2.66175	1/10/2017	124.629997
1/9/2017	2.682	1/9/2017	124.639999
1/6/2017	2.5775	1/6/2017	124.419998
1/5/2017	2.5435	1/5/2017	123.290001
1/4/2017	2.60975	1/4/2017	123.199997
1/3/2017	2.55025	1/3/2017	122.459999
12/30/2016	2.6685	12/30/2016	121.5
12/29/2016	2.78575	12/29/2016	122.620003
12/28/2016	2.73125	12/28/2016	122.550003
12/27/2016	2.933	12/27/2016	123.790001
12/23/2016	2.7445	12/23/2016	123.169998
